RegionID,SizeRank,RegionName,RegionType,StateName,7/31/08,7/31/09,7/31/10,7/31/11,7/31/12,7/31/13,7/31/14,7/31/15,7/31/16,7/31/17,7/31/18,7/31/19,7/31/20
395059,34,"San Jose, CA",Msa,CA,653500,555000,570000,543000,590000,689000,730000,840000,862500,949500,1087000,1080000,1145013
395057,11,"San Francisco, CA",Msa,CA,543000,431000,460000,412000,465000,595000,641750,666000,725000,760000,830000,800000,900000
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,475000,420000,405000,395502,399000,480000,518250,537000,569000,620000,650000,675000,718000
394952,66,"Ventura, CA",Msa,CA,469250,415000,390000,378500,385000,460000,500000,520000,527500,570000,590000,600000,655000
395056,17,"San Diego, CA",Msa,CA,425000,370000,371500,360000,359000,435000,460000,484500,510000,550000,595000,585000,640000
395166,383,"Truckee, CA",Msa,CA,379000,342000,310000,270000,294750,310000,325000,355000,380000,400000,455250,464000,617500
753924,54,"Urban Honolulu, HI",Msa,HI,411000,416000,475000,420000,448500,455050,490000,509500,570000,580000,580800,626500,600000
394405,162,"Boulder, CO",Msa,CO,319000,303000,350000,333500,329000,343250,369000,410500,450000,473750,520213,550000,580000
395078,15,"Seattle, WA",Msa,WA,347800,319900,329000,275000,295000,330000,340000,359950,400000,445450,479000,484925,550000
394404,10,"Boston, MA",Msa,MA,352500,335000,365000,359900,358500,370000,385000,402500,420000,437000,475000,480000,520000
395183,124,"Vallejo, CA",Msa,CA,320000,226250,227000,215000,202000,262250,338000,338000,392000,419000,440000,455000,472000
394415,58,"Stamford, CT",Msa,CT,522000,442000,499014,440000,450000,450000,450000,444900,420000,415000,445000,431750,470000
395045,25,"Sacramento, CA",Msa,CA,290000,250000,240000,220000,225000,288000,313000,326500,356750,388250,410000,420000,464000
395209,7,"Washington, DC",Msa,DC,385209,349000,349000,359900,370000,390000,400000,387500,392175,410000,417000,425000,462000
394530,21,"Denver, CO",Msa,CO,248500,230000,250000,245000,260000,280000,290000,320000,361000,388000,419999,430000,455000
395134,77,"Stockton, CA",Msa,CA,241000,199000,183500,175000,177000,240000,270000,295000,321000,359000,375000,385000,440000
394998,23,"Portland, OR",Msa,OR,280000,245500,250000,230000,240363,270000,289000,308000,339000,379995,393400,405000,435000
395025,13,"Riverside, CA",Msa,CA,283500,214500,210000,197500,208000,258000,280000,305000,325000,350000,370000,377000,410000
394602,159,"Fort Collins, CO",Msa,CO,219900,210000,223075,225000,226000,245000,255000,298377,335237,355000,383300,388000,407000
394645,177,"Greeley, CO",Msa,CO,204000,190000,197500,186500,204300,215000,234850,270000,297900,325000,341355,358900,382500
395053,50,"Salt Lake City, UT",Msa,UT,232648,220000,225000,199800,195000,228000,240500,252000,271000,294500,323000,349000,375000
394484,80,"Colorado Springs, CO",Msa,CO,224475,200000,220000,209786,220600,236445,235000,245000,260000,278000,305000,322000,370000
395006,100,"Provo, UT",Msa,UT,215000,203950,204500,177900,194750,218000,233308,240250,262000,285000,315000,325000,359950
394355,35,"Austin, TX",Msa,TX,197500,194900,218600,195000,213500,230000,249000,273000,289900,300000,315000,324000,359948
394399,85,"Boise City, ID",Msa,ID,182551,157000,132750,124900,149498,172250,183750,205427,221565,240200,283000,303000,349925
394931,89,"Ogden, UT",Msa,UT,199900,180000,184900,160000,178750,194000,193800,208000,223950,250000,275000,291000,340000
395246,244,"Yuba City, CA",Msa,CA,215000,177500,165000,164250,142750,190000,210000,225000,253250,265000,282500,305000,340000
395048,132,"Salem, OR",Msa,OR,202750,185000,193150,164450,171000,187900,195000,214450,233000,255000,302200,313473,339650
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,265000,200000,170000,160000,170000,215000,239000,250000,257000,275000,282000,291000,325000
395238,57,"Worcester, MA",Msa,MA,238000,220500,219000,227000,222000,232024,234900,240000,255000,264900,280000,285000,325000
394902,37,"Nashville, TN",Msa,TN,175000,165000,175000,179000,186000,195900,202000,218700,245073,264636,290000,299000,324500
394976,14,"Phoenix, AZ",Msa,AZ,215000,160000,145000,128000,160000,200000,210000,222046,235000,255000,275319,290000,320000
395005,38,"Providence, RI",Msa,RI,252000,225000,234000,220000,218000,225000,229900,245000,264950,272113,284000,300000,320000
394358,20,"Baltimore, MD",Msa,MD,275000,255000,250000,265000,265000,290000,285000,310000,306000,300000,307461,319000,318000
394619,56,"Fresno, CA",Msa,CA,235250,197000,175000,170000,170000,205000,215000,235000,242000,264500,275000,280000,314000
394775,31,"Las Vegas, NV",Msa,NV,252877,178000,144898,140000,140000,183000,199000,220000,220000,260000,285000,299995,310000
395012,48,"Raleigh, NC",Msa,NC,208250,190000,200000,202500,204250,215000,226000,235000,245000,268000,283775,295500,310000
394865,16,"Minneapolis-St Paul, MN",Msa,MN,220000,195000,205000,181000,189900,212000,217900,228000,239250,252500,265000,279965,309000
394457,78,"Charleston, SC",Msa,SC,210000,193317,202445,203000,219900,218200,237000,239990,249210,262000,265000,278950,307000
394549,104,"Durham, NC",Msa,NC,186000,190000,206000,196000,190350,204500,205500,220000,247000,267750,280000,285000,302000
394514,4,"Dallas-Fort Worth, TX",Msa,TX,160000,157900,159900,158000,168000,190000,200000,220000,237000,257000,275000,278500,300000
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,235000,173500,168250,160000,171950,210490,227750,235000,252500,267000,275000,275753,296000
394816,87,"Madison, WI",Msa,WI,215000,196000,215000,205000,188000,206000,227250,224000,237000,252800,271950,276250,295000
394458,24,"Charlotte, NC",Msa,NC,183500,165000,172250,169500,173000,191500,201500,206000,222000,243250,249851,265000,285000
395022,45,"Richmond, VA",Msa,VA,225900,207000,218500,209700,220000,215000,215000,228500,237500,250000,257500,266330,284900
394742,595,"Kerrville, TX",Msa,TX,159200,173500,168500,154497,142000,206940,174250,197500,197300,224500,258750,236250,281063
394347,9,"Atlanta, GA",Msa,GA,195000,174900,152600,148323,173508,200000,205000,215000,219640,228500,245000,260000,279900
395194,36,"Virginia Beach, VA",Msa,VA,237000,233631,242750,225000,227750,239950,232000,245000,244572,250000,249900,262700,279900
394974,5,"Philadelphia, PA",Msa,PA,245000,229000,238000,230000,233440,242880,239999,240000,246625,250000,250000,269999,279000
394623,229,"Gainesville, GA",Msa,GA,177000,164200,132500,135000,157000,184650,190000,180000,213200,230000,252900,255000,278034
394943,27,"Orlando, FL",Msa,FL,216400,165991,146200,135000,147000,179970,200375,207250,225000,240000,255000,262000,274900
394714,40,"Jacksonville, FL",Msa,FL,199000,177000,157900,159000,156850,195000,205000,205250,218995,237206,250000,260268,272500
394692,6,"Houston, TX",Msa,TX,163000,166500,160000,160000,169900,189600,200000,221000,230000,230000,243000,248500,269900
394586,504,"Faribault, MN",Msa,MN,200000,184301,157500,143000,153450,185000,180450,175000,205000,237500,229900,243000,268000
394463,3,"Chicago, IL",Msa,IL,258000,220050,210000,200000,195000,215000,221000,225000,230000,242000,245000,247500,265000
394862,39,"Milwaukee, WI",Msa,WI,200000,190000,195000,183750,183500,192101,198500,195000,201000,216000,233000,237000,265000
394357,63,"Bakersfield, CA",Msa,CA,210000,162000,150000,140000,142000,185000,192000,214500,220000,230250,240000,245000,263000
394908,62,"New Haven, CT",Msa,CT,260000,231000,232000,226900,227500,229900,220000,227000,227000,230000,240000,241000,261750
394995,119,"Port St. Lucie, FL",Msa,FL,177995,125000,125000,110000,125000,140000,160000,180000,196428,218000,222065,239900,260000
395153,399,"The Villages, FL",Msa,FL,199000,189000,208750,202200,220995,231000,248700,253580,250000,242750,265000,260217,260000
394735,30,"Kansas City, MO",Msa,MO,157500,159950,158535,149500,155000,170750,179000,182500,197750,210000,220500,230000,257500
395055,26,"San Antonio, TX",Msa,TX,155000,161881,161000,159500,165000,179900,185000,197487,211000,215000,229500,235000,255000
394669,44,"Hartford, CT",Msa,CT,244000,234000,236250,225000,229000,232000,233300,220000,227000,237500,242450,245000,255000
394440,84,"Fort Myers, FL",Msa,FL,198000,135000,124000,140000,147000,173000,187250,208500,215000,220000,235000,230000,255000
395148,19,"Tampa, FL",Msa,FL,178200,151000,135000,125000,135000,160000,170000,182000,193700,214000,225000,235000,252600
395167,53,"Tucson, AZ",Msa,AZ,207000,180000,173500,146000,155000,167000,185000,180000,189950,200000,207730,225000,249250
394312,59,"Albuquerque, NM",Msa,NM,195980,177500,181400,172000,167000,175000,184995,178000,185000,195000,205000,222500,247250
394346,220,"Athens, GA",Msa,GA,162899,150000,157000,139950,161025,157750,155000,164475,175000,207250,209950,216250,247145
395115,83,"Springfield, MA",Msa,MA,208500,186800,200000,192000,194000,208250,190000,208700,208000,218000,221400,235000,245000
394528,90,"Daytona Beach, FL",Msa,FL,186911,144950,134000,120000,121750,141250,150100,164000,174000,190000,210000,220000,245000
395007,253,"Pueblo, CO",Msa,CO,117750,137000,128000,124700,144900,137750,147500,150000,163976,172563,195000,205776,240250
394492,32,"Columbus, OH",Msa,OH,150000,148200,164150,159700,162000,170000,165000,173417,178825,192850,206000,215000,240000
395009,251,"Punta Gorda, FL",Msa,FL,185000,141500,125000,119000,115000,140000,151000,173250,170895,186300,199700,214900,239900
394640,52,"Grand Rapids, MI",Msa,MI,130700,125000,120000,128000,129000,139500,148325,155000,165000,180000,199900,215000,237000
394753,64,"Knoxville, TN",Msa,TN,149900,139000,146000,147250,150000,155000,160000,167500,165000,182000,200000,212500,235060
394910,46,"New Orleans, LA",Msa,LA,178000,180000,169950,164250,162000,179000,175000,182900,188950,200000,209000,215000,232900
394531,91,"Des Moines, IA",Msa,IA,155500,149500,149900,161750,158000,170000,174000,179500,195000,198250,213350,221000,232425
394938,61,"Omaha, NE",Msa,NE,139900,137250,140000,140000,146800,160000,160000,167000,173000,175750,200000,210000,231189
394653,65,"Greenville, SC",Msa,SC,154850,139500,141900,157000,149563,160000,162250,175000,177000,192500,205000,219900,229700
394711,92,"Jackson, MS",Msa,MS,152002,151200,138000,148000,159950,160000,163500,175000,178000,182135,195000,189900,227900
394532,12,"Detroit, MI",Msa,MI,142000,115000,115000,111000,124900,150000,159900,166000,176500,185000,191000,201950,225300
394318,67,"Allentown, PA",Msa,PA,208750,198900,207500,187000,175000,190000,191000,190000,185200,186000,200000,214700,225250
394388,49,"Birmingham, AL",Msa,AL,157950,155000,145000,145000,168000,187500,176750,183400,193050,189900,203273,204008,225000
394807,43,"Louisville-Jefferson County, KY",Msa,KY,141000,145000,151500,150500,145000,157277,156000,166000,178050,187250,195000,203000,222600
394766,88,"Lakeland, FL",Msa,FL,165000,135000,117500,101500,105000,123085,137745,154000,162500,179900,189900,207000,221950
394705,33,"Indianapolis, IN",Msa,IN,132000,128950,129900,135300,136900,145000,153000,160000,163900,174000,185000,200000,221000
394471,172,"Clarksville, TN",Msa,TN,130000,137500,140450,144900,147250,158500,150000,165000,170000,168700,180250,200000,219250
394466,28,"Cincinnati, OH",Msa,OH,152000,139000,149900,155000,151000,163283,158000,162000,170000,177000,182000,190000,218825
394367,69,"Baton Rouge, LA",Msa,LA,177500,174000,168400,174500,179900,175250,185000,190000,197260,200000,204000,205900,218750
395121,18,"St. Louis, MO",Msa,MO,165000,153000,160000,151777,154000,165000,166000,170000,172500,185000,187900,192549,217000
394666,96,"Harrisburg, PA",Msa,PA,167743,165000,174900,160000,163000,171000,169900,170000,176000,183000,185500,192000,215500
394546,343,"Dunn, NC",Msa,NC,150000,160000,179250,170000,173500,167500,160000,175000,164000,186000,188750,204000,214000
394849,41,"Memphis, TN",Msa,TN,158000,155000,140000,139875,156303,165000,165000,156950,167750,179000,188000,200500,213000
395094,331,"Sherman, TX",Msa,TX,90000,111450,101600,117750,111250,135250,121150,126250,155000,165000,187900,207000,213000
394308,60,"Albany, NY",Msa,NY,186500,176000,179250,184000,190250,187500,189000,187000,189000,195000,200000,212000,210750
394352,94,"Augusta, GA",Msa,GA,140000,143200,140000,143700,149900,152000,156249,162900,163313,165000,185000,188000,210000
395091,641,"Shelbyville, TN",Msa,TN,99250,119700,60000,99950,99000,88500,114950,137000,142250,166000,162500,180000,210000
394486,72,"Columbia, SC",Msa,SC,148420,149945,149990,149950,145201,158000,157900,158000,166000,170797,174947,189639,205999
395235,81,"Winston-Salem, NC",Msa,NC,145000,134000,133000,131500,125500,136750,135000,147000,145000,159000,160000,183000,203000
394935,42,"Oklahoma City, OK",Msa,OK,127000,132000,130000,136000,140000,153000,160000,165000,170000,172250,175000,185000,202880
395169,55,"Tulsa, OK",Msa,OK,132000,130000,140000,132000,138000,150000,156500,152000,163000,169950,166000,178000,200000
394982,22,"Pittsburgh, PA",Msa,PA,134000,130000,130000,138000,144000,149900,150750,159900,160000,169900,175000,185000,199000
394648,73,"Greensboro, NC",Msa,NC,143000,140000,139500,128000,132750,146000,142000,144500,151750,163000,167000,175000,195000
394746,128,"Killeen, TX",Msa,TX,124400,124279,126975,125000,130000,131500,134900,147870,148250,158240,164510,168000,190000
394425,47,"Buffalo, NY",Msa,NY,117000,122500,129900,132250,130000,138700,133381,141218,150000,155000,169950,173000,185000
394798,76,"Little Rock, AR",Msa,AR,141000,145000,147000,140000,150000,155000,155000,156200,156394,159900,169900,169000,185000
394309,527,"Albemarle, NC",Msa,NC,130000,92750,73000,120000,129000,120000,102500,125500,125500,144700,142500,173250,184100
395224,82,"Wichita, KS",Msa,KS,122750,119450,121600,109900,133535,122250,138250,134700,138500,153900,145000,168250,180000
394561,68,"El Paso, TX",Msa,TX,137000,129970,135725,131475,137225,146500,143213,150215,146000,151600,160000,165000,178475
394475,29,"Cleveland, OH",Msa,OH,137250,127000,129900,129900,137000,140000,137000,142000,142500,150000,149374,162500,175000
395031,51,"Rochester, NY",Msa,NY,125500,126000,129900,129752,130000,142000,140000,144900,145000,149900,158000,163000,175000
394927,149,"Ocala, FL",Msa,FL,147100,120000,109000,94000,105000,106500,116950,118950,139000,150000,160250,166000,173750
394304,74,"Akron, OH",Msa,OH,130000,124150,115000,131250,123500,140000,131000,143000,137500,155000,150000,160000,170000
394813,189,"Macon-Bibb County, GA",Msa,GA,125000,125000,118250,98000,118950,120750,119000,124000,125000,131550,134900,141950,169400
395230,672,"Wilmington, OH",Msa,OH,121900,107500,82000,78900,86000,89900,122250,129000,124900,125000,138500,120000,167000
394521,70,"Dayton, OH",Msa,OH,132900,129900,127250,116500,138250,140000,129450,124900,129000,130000,152500,149900,163000
395143,79,"Syracuse, NY",Msa,NY,126500,122900,120000,125000,133000,136620,132500,134200,140000,142750,144900,155000,162300
395160,86,"Toledo, OH",Msa,OH,113150,115500,105000,99250,112000,114950,116000,124950,120400,128000,135000,135000,156000